TraceName,ExpName,ipc,precision,recall,Filter
708.sqlite_r-main_size2000-556B,bw200_pythia,0.79975,0,0,1
708.sqlite_r-main_size2000-556B,bw200_normal,0.87121,89.18,95.46,1
708.sqlite_r-main_size2000-556B,bw200_normal_pythia,0.8055,89.1,96.5,1
708.sqlite_r-main_size2000-556B,bw200_xpt,0.86632,99.96,0.13,1
708.sqlite_r-main_size2000-556B,bw200_xpt_pythia,0.79975,75.0,0.0,1
708.sqlite_r-main_size2000-556B,bw400_nopf,0.98366,0,0,1
708.sqlite_r-main_size2000-556B,bw400_pythia,0.96419,0,0,1
708.sqlite_r-main_size2000-556B,bw400_normal,1.02434,89.23,95.43,1
708.sqlite_r-main_size2000-556B,bw400_normal_pythia,0.9977,88.7,96.47,1
708.sqlite_r-main_size2000-556B,bw400_xpt,0.98386,99.96,0.13,1
708.sqlite_r-main_size2000-556B,bw400_xpt_pythia,0.96419,75.0,0.0,1
708.sqlite_r-main_size2000-556B,bw800_nopf,1.03812,0,0,1
708.sqlite_r-main_size2000-556B,bw800_pythia,1.04172,0,0,1
708.sqlite_r-main_size2000-556B,bw800_normal,1.09271,89.21,95.43,1
708.sqlite_r-main_size2000-556B,bw800_normal_pythia,1.09467,88.27,96.43,1
708.sqlite_r-main_size2000-556B,bw800_xpt,1.03834,99.96,0.13,1
708.sqlite_r-main_size2000-556B,bw800_xpt_pythia,1.04172,75.0,0.0,1
708.sqlite_r-main_size2000-556B,bw1600_nopf,1.05887,0,0,1
708.sqlite_r-main_size2000-556B,bw1600_pythia,1.07366,0,0,1
708.sqlite_r-main_size2000-556B,bw1600_normal,1.11759,89.18,95.45,1
708.sqlite_r-main_size2000-556B,bw1600_normal_pythia,1.12953,88.53,95.21,1
708.sqlite_r-main_size2000-556B,bw1600_xpt,1.0591,99.96,0.13,1
708.sqlite_r-main_size2000-556B,bw1600_xpt_pythia,1.07366,75.0,0.0,1
708.sqlite_r-main_size2000-556B,bw3200_nopf,1.06619,0,0,1
708.sqlite_r-main_size2000-556B,bw3200_pythia,1.08667,0,0,1
708.sqlite_r-main_size2000-556B,bw3200_normal,1.12624,89.18,95.44,1
708.sqlite_r-main_size2000-556B,bw3200_normal_pythia,1.1432,89.38,95.11,1
708.sqlite_r-main_size2000-556B,bw3200_xpt,1.06642,99.96,0.13,1
708.sqlite_r-main_size2000-556B,bw3200_xpt_pythia,1.08667,75.0,0.0,1
708.sqlite_r-main_size2000-556B,bw6400_nopf,1.06823,0,0,1
708.sqlite_r-main_size2000-556B,bw6400_pythia,1.0889,0,0,1
708.sqlite_r-main_size2000-556B,bw6400_normal,1.12881,89.19,95.44,1
708.sqlite_r-main_size2000-556B,bw6400_normal_pythia,1.14621,89.58,95.02,1
708.sqlite_r-main_size2000-556B,bw6400_xpt,1.06847,99.96,0.13,1
708.sqlite_r-main_size2000-556B,bw6400_xpt_pythia,1.0889,75.0,0.0,1
709.cactus_r-shifted_gauge_wave-19B,bw200_nopf,0.73346,0,0,1
709.cactus_r-shifted_gauge_wave-19B,bw200_pythia,0.79756,0,0,1
709.cactus_r-shifted_gauge_wave-19B,bw200_normal,0.73192,98.03,97.69,1
709.cactus_r-shifted_gauge_wave-19B,bw200_normal_pythia,0.79373,85.69,59.98,1
709.cactus_r-shifted_gauge_wave-19B,bw200_xpt,0.73386,97.35,45.25,1
709.cactus_r-shifted_gauge_wave-19B,bw200_xpt_pythia,0.79722,67.52,3.9,1
709.cactus_r-shifted_gauge_wave-19B,bw400_nopf,0.84211,0,0,1
709.cactus_r-shifted_gauge_wave-19B,bw400_pythia,0.88148,0,0,1
709.cactus_r-shifted_gauge_wave-19B,bw400_normal,0.84408,98.2,97.7,1
709.cactus_r-shifted_gauge_wave-19B,bw400_normal_pythia,0.87807,85.91,60.05,1
709.cactus_r-shifted_gauge_wave-19B,bw400_xpt,0.84484,97.35,45.25,1
709.cactus_r-shifted_gauge_wave-19B,bw400_xpt_pythia,0.8797,57.39,3.76,1
709.cactus_r-shifted_gauge_wave-19B,bw800_nopf,0.89662,0,0,1
709.cactus_r-shifted_gauge_wave-19B,bw800_pythia,0.91323,0,0,1
709.cactus_r-shifted_gauge_wave-19B,bw800_normal,0.89923,98.12,97.57,1
709.cactus_r-shifted_gauge_wave-19B,bw800_normal_pythia,0.91326,85.97,60.86,1
709.cactus_r-shifted_gauge_wave-19B,bw800_xpt,0.89941,97.37,45.25,1
709.cactus_r-shifted_gauge_wave-19B,bw800_xpt_pythia,0.91242,66.94,4.14,1
709.cactus_r-shifted_gauge_wave-19B,bw1600_nopf,0.90908,0,0,1
709.cactus_r-shifted_gauge_wave-19B,bw1600_pythia,0.92065,0,0,1
709.cactus_r-shifted_gauge_wave-19B,bw1600_normal,0.91157,98.26,97.65,1
709.cactus_r-shifted_gauge_wave-19B,bw1600_normal_pythia,0.92026,86.87,63.12,1
709.cactus_r-shifted_gauge_wave-19B,bw1600_xpt,0.91069,97.37,45.25,1
709.cactus_r-shifted_gauge_wave-19B,bw1600_xpt_pythia,0.92053,75.85,3.87,1
709.cactus_r-shifted_gauge_wave-19B,bw3200_nopf,0.9107,0,0,1
709.cactus_r-shifted_gauge_wave-19B,bw3200_pythia,0.92134,0,0,1
709.cactus_r-shifted_gauge_wave-19B,bw3200_normal,0.91334,98.07,97.68,1
709.cactus_r-shifted_gauge_wave-19B,bw3200_normal_pythia,0.92138,86.38,60.25,1
709.cactus_r-shifted_gauge_wave-19B,bw3200_xpt,0.91208,97.35,45.25,1
