TraceName,ExpName,ipc,precision,recall,Filter
736.ocio_r-lut1d_halfdom-43B,bw3200_pythia,1.58063,0,0,1
736.ocio_r-lut1d_halfdom-43B,bw3200_normal,1.45934,100.0,100.0,1
736.ocio_r-lut1d_halfdom-43B,bw3200_normal_pythia,1.58528,96.77,67.99,1
736.ocio_r-lut1d_halfdom-43B,bw3200_xpt,1.44014,100.0,49.94,1
736.ocio_r-lut1d_halfdom-43B,bw3200_xpt_pythia,1.58073,32.4,0.04,1
736.ocio_r-lut1d_halfdom-6B,bw3200_nopf,1.09178,0,0,1
736.ocio_r-lut1d_halfdom-6B,bw3200_pythia,1.23846,0,0,1
736.ocio_r-lut1d_halfdom-6B,bw3200_normal,1.11994,100.0,100.0,1
736.ocio_r-lut1d_halfdom-6B,bw3200_normal_pythia,1.24022,95.35,66.89,1
736.ocio_r-lut1d_halfdom-6B,bw3200_xpt,1.10712,100.0,49.82,1
736.ocio_r-lut1d_halfdom-6B,bw3200_xpt_pythia,1.23833,96.03,10.88,1
736.ocio_r-mntr_srgb_8k-35B,bw3200_nopf,1.09489,0,0,1
736.ocio_r-mntr_srgb_8k-35B,bw3200_pythia,1.10033,0,0,1
736.ocio_r-mntr_srgb_8k-35B,bw3200_normal,1.10293,100.0,100.0,1
736.ocio_r-mntr_srgb_8k-35B,bw3200_normal_pythia,1.08693,77.73,91.32,1
736.ocio_r-mntr_srgb_8k-35B,bw3200_xpt,1.09773,100.0,48.24,1
736.ocio_r-mntr_srgb_8k-35B,bw3200_xpt_pythia,1.09332,68.14,27.68,1
737.gmsh_r-choi-225B,bw3200_nopf,0.85698,0,0,1
737.gmsh_r-choi-225B,bw3200_pythia,1.02068,0,0,1
737.gmsh_r-choi-225B,bw3200_normal,0.91953,90.61,92.81,1
737.gmsh_r-choi-225B,bw3200_normal_pythia,1.04148,73.02,53.9,1
737.gmsh_r-choi-225B,bw3200_xpt,0.86425,95.89,10.26,1
737.gmsh_r-choi-225B,bw3200_xpt_pythia,1.02097,23.42,0.04,1
737.gmsh_r-gasdis-121B,bw3200_nopf,1.07284,0,0,1
737.gmsh_r-gasdis-121B,bw3200_pythia,1.24564,0,0,1
737.gmsh_r-gasdis-121B,bw3200_normal,1.12568,98.49,98.62,1
737.gmsh_r-gasdis-121B,bw3200_normal_pythia,1.24872,88.56,88.82,1
737.gmsh_r-gasdis-121B,bw3200_xpt,1.09298,98.87,43.89,1
737.gmsh_r-gasdis-121B,bw3200_xpt_pythia,1.24184,85.4,32.36,1
737.gmsh_r-gasdis-149B,bw3200_nopf,0.76377,0,0,1
737.gmsh_r-gasdis-149B,bw3200_pythia,0.77128,0,0,1
737.gmsh_r-gasdis-149B,bw3200_normal,0.79492,80.28,87.82,1
737.gmsh_r-gasdis-149B,bw3200_normal_pythia,0.80368,82.1,85.17,1
737.gmsh_r-gasdis-149B,bw3200_xpt,0.76504,100.0,1.61,1
737.gmsh_r-gasdis-149B,bw3200_xpt_pythia,0.77128,46.51,0.0,1
