TraceName,ExpName,dram_read_reqs,Filter
737.gmsh_r-p19-70B,bw3200_normal_pythia,2646878,1
737.gmsh_r-projection-6B,bw3200_nopf,20379023,1
737.gmsh_r-projection-6B,bw3200_pythia,30022874,1
737.gmsh_r-projection-6B,bw3200_xpt,20365318,1
737.gmsh_r-projection-6B,bw3200_xpt_pythia,30333051,1
737.gmsh_r-projection-6B,bw3200_normal,20838501,1
737.gmsh_r-projection-6B,bw3200_normal_pythia,39095619,1
737.gmsh_r-spec_hxt-26B,bw3200_nopf,9683917,1
737.gmsh_r-spec_hxt-26B,bw3200_pythia,13711504,1
737.gmsh_r-spec_hxt-26B,bw3200_xpt,9686452,1
737.gmsh_r-spec_hxt-26B,bw3200_xpt_pythia,13786178,1
737.gmsh_r-spec_hxt-26B,bw3200_normal,9902007,1
737.gmsh_r-spec_hxt-26B,bw3200_normal_pythia,14086923,1
737.gmsh_r-spec_hxt-62B,bw3200_nopf,2064836,1
737.gmsh_r-spec_hxt-62B,bw3200_pythia,2240887,1
737.gmsh_r-spec_hxt-62B,bw3200_xpt,2068299,1
737.gmsh_r-spec_hxt-62B,bw3200_xpt_pythia,2265071,1
737.gmsh_r-spec_hxt-62B,bw3200_normal,2085996,1
737.gmsh_r-spec_hxt-62B,bw3200_normal_pythia,2342803,1
737.gmsh_r-torus-33B,bw3200_nopf,10109707,1
737.gmsh_r-torus-33B,bw3200_pythia,14184433,1
737.gmsh_r-torus-33B,bw3200_xpt,10099471,1
737.gmsh_r-torus-33B,bw3200_xpt_pythia,14178890,1
737.gmsh_r-torus-33B,bw3200_normal,11110617,1
737.gmsh_r-torus-33B,bw3200_normal_pythia,15163947,1
737.gmsh_r-torus-74B,bw3200_nopf,1641578,1
737.gmsh_r-torus-74B,bw3200_pythia,2398465,1
737.gmsh_r-torus-74B,bw3200_xpt,1641555,1
737.gmsh_r-torus-74B,bw3200_xpt_pythia,2398465,1
737.gmsh_r-torus-74B,bw3200_normal,1868018,1
737.gmsh_r-torus-74B,bw3200_normal_pythia,2570913,1
749.fotonik3d_r-default-128B,bw3200_nopf,29468047,1
749.fotonik3d_r-default-128B,bw3200_pythia,33247766,1
749.fotonik3d_r-default-128B,bw3200_xpt,29495370,1
749.fotonik3d_r-default-128B,bw3200_xpt_pythia,33412808,1
749.fotonik3d_r-default-128B,bw3200_normal,29657117,1
749.fotonik3d_r-default-128B,bw3200_normal_pythia,34472460,1
749.fotonik3d_r-default-130B,bw3200_nopf,27776108,1
749.fotonik3d_r-default-130B,bw3200_pythia,33684242,1
749.fotonik3d_r-default-130B,bw3200_xpt,27807859,1
749.fotonik3d_r-default-130B,bw3200_xpt_pythia,33526219,1
749.fotonik3d_r-default-130B,bw3200_normal,28021651,1
749.fotonik3d_r-default-130B,bw3200_normal_pythia,34551994,1
749.fotonik3d_r-default-45B,bw3200_nopf,30450611,1
749.fotonik3d_r-default-45B,bw3200_pythia,36918174,1
749.fotonik3d_r-default-45B,bw3200_xpt,30506025,1
749.fotonik3d_r-default-45B,bw3200_xpt_pythia,37048470,1
749.fotonik3d_r-default-45B,bw3200_normal,30827238,1
749.fotonik3d_r-default-45B,bw3200_normal_pythia,38273708,1
749.fotonik3d_r-default-599B,bw3200_nopf,32561153,1
749.fotonik3d_r-default-599B,bw3200_pythia,39592024,1
749.fotonik3d_r-default-599B,bw3200_xpt,32620138,1
